id	name	desc	url	type
"N"_THE_OTHER	"N" THE OTHER	Japanese novel series	https://zh.moegirl.org.cn/%22N%22_THE_OTHER	Q104213567
00后请多指教！	00后请多指教！	Japanese manga series	https://zh.moegirl.org.cn/00%E5%90%8E%E8%AF%B7%E5%A4%9A%E6%8C%87%E6%95%99%EF%BC%81	Q21198342
0能者九条凑	0能者九条凑	Japanese novel series	https://zh.moegirl.org.cn/0%E8%83%BD%E8%80%85%E4%B9%9D%E6%9D%A1%E5%87%91	Q104213567
1-2-Switch	1-2-Switch	Japanese video game	https://zh.moegirl.org.cn/1-2-Switch	Q7889
1/2_summer	1/2 summer	Japanese video game	https://zh.moegirl.org.cn/1/2_summer	Q7889
10_count	10 count	Japanese manga series	https://zh.moegirl.org.cn/10_count	Q21198342
100%鲜橙汁	100%鲜橙汁	Japanese video game	https://zh.moegirl.org.cn/100%25%E9%B2%9C%E6%A9%99%E6%B1%81	Q7889
100天后就会死的鳄鱼	100天后就会死的鳄鱼	Japanese manga series	https://zh.moegirl.org.cn/100%E5%A4%A9%E5%90%8E%E5%B0%B1%E4%BC%9A%E6%AD%BB%E7%9A%84%E9%B3%84%E9%B1%BC	Q21198342
100天后要死去的恶役千金每天都很快乐	100天后要死去的恶役千金每天都很快乐	Japanese novel series	https://zh.moegirl.org.cn/100%E5%A4%A9%E5%90%8E%E8%A6%81%E6%AD%BB%E5%8E%BB%E7%9A%84%E6%81%B6%E5%BD%B9%E5%8D%83%E9%87%91%E6%AF%8F%E5%A4%A9%E9%83%BD%E5%BE%88%E5%BF%AB%E4%B9%90	Q104213567
11+11	11+11	Chinese video game	https://zh.moegirl.org.cn/11%2B11	Q7889
11eyes-罪与罚与救赎之少女-	11eyes-罪与罚与救赎之少女-	Japanese video game	https://zh.moegirl.org.cn/11eyes-%E7%BD%AA%E4%B8%8E%E7%BD%9A%E4%B8%8E%E6%95%91%E8%B5%8E%E4%B9%8B%E5%B0%91%E5%A5%B3-	Q7889
11eyes-罪与罚与救赎之少女-(漫画)	11eyes-罪与罚与救赎之少女-(漫画)	Japanese manga series	https://zh.moegirl.org.cn/11eyes-%E7%BD%AA%E4%B8%8E%E7%BD%9A%E4%B8%8E%E6%95%91%E8%B5%8E%E4%B9%8B%E5%B0%91%E5%A5%B3-%28%E6%BC%AB%E7%94%BB%29	Q21198342
11月的理想乡	11月的理想乡	Japanese video game	https://zh.moegirl.org.cn/11%E6%9C%88%E7%9A%84%E7%90%86%E6%83%B3%E4%B9%A1	Q7889
120日元之冬	120日元之冬	Japanese video game	https://zh.moegirl.org.cn/120%E6%97%A5%E5%85%83%E4%B9%8B%E5%86%AC	Q7889
120日元之夏	120日元之夏	Japanese video game	https://zh.moegirl.org.cn/120%E6%97%A5%E5%85%83%E4%B9%8B%E5%A4%8F	Q7889
120日元之春	120日元之春	Japanese video game	https://zh.moegirl.org.cn/120%E6%97%A5%E5%85%83%E4%B9%8B%E6%98%A5	Q7889
120日元之秋	120日元之秋	Japanese video game	https://zh.moegirl.org.cn/120%E6%97%A5%E5%85%83%E4%B9%8B%E7%A7%8B	Q7889
120日元系列	120日元系列	Japanese video game	https://zh.moegirl.org.cn/120%E6%97%A5%E5%85%83%E7%B3%BB%E5%88%97	Q7889
12岁。	12岁。	Japanese manga series	https://zh.moegirl.org.cn/12%E5%B2%81%E3%80%82	Q21198342
14岁与插画家	14岁与插画家	Japanese novel series	https://zh.moegirl.org.cn/14%E5%B2%81%E4%B8%8E%E6%8F%92%E7%94%BB%E5%AE%B6	Q104213567
15岁的嫌疑人	15岁的嫌疑人	Japanese novel series	https://zh.moegirl.org.cn/15%E5%B2%81%E7%9A%84%E5%AB%8C%E7%96%91%E4%BA%BA	Q104213567
16bit的感动	16bit的感动	Japanese manga series	https://zh.moegirl.org.cn/16bit%E7%9A%84%E6%84%9F%E5%8A%A8	Q21198342
180秒能让你的耳朵幸福吗？	180秒能让你的耳朵幸福吗？	Japanese anime series	https://zh.moegirl.org.cn/180%E7%A7%92%E8%83%BD%E8%AE%A9%E4%BD%A0%E7%9A%84%E8%80%B3%E6%9C%B5%E5%B9%B8%E7%A6%8F%E5%90%97%EF%BC%9F	Q63952888
1F的骑士	1F的骑士	Japanese manga series	https://zh.moegirl.org.cn/1F%E7%9A%84%E9%AA%91%E5%A3%AB	Q21198342
1LDK与2JK	1LDK与2JK	Japanese novel series	https://zh.moegirl.org.cn/1LDK%E4%B8%8E2JK	Q104213567
1room_-家出少女-	1room -家出少女-	Japanese video game	https://zh.moegirl.org.cn/1room_-%E5%AE%B6%E5%87%BA%E5%B0%91%E5%A5%B3-	Q7889
2.43_清阴高中男子排球社	2.43 清阴高中男子排球社	Japanese novel series	https://zh.moegirl.org.cn/2.43_%E6%B8%85%E9%98%B4%E9%AB%98%E4%B8%AD%E7%94%B7%E5%AD%90%E6%8E%92%E7%90%83%E7%A4%BE	Q104213567
2.5次元的诱惑	2.5次元的诱惑	Japanese manga series	https://zh.moegirl.org.cn/2.5%E6%AC%A1%E5%85%83%E7%9A%84%E8%AF%B1%E6%83%91	Q21198342
200%混成汁	200%混成汁	Japanese video game	https://zh.moegirl.org.cn/200%25%E6%B7%B7%E6%88%90%E6%B1%81	Q7889
2010版链缘无现里	2010版链缘无现里	Japanese video game	https://zh.moegirl.org.cn/2010%E7%89%88%E9%93%BE%E7%BC%98%E6%97%A0%E7%8E%B0%E9%87%8C	Q7889
2015年的时钟塔	2015年的时钟塔	Japanese novel series	https://zh.moegirl.org.cn/2015%E5%B9%B4%E7%9A%84%E6%97%B6%E9%92%9F%E5%A1%94	Q104213567
2047	2047	Chinese video game	https://zh.moegirl.org.cn/2047	Q7889
20世纪少年(漫画)	20世纪少年(漫画)	Japanese manga series	https://zh.moegirl.org.cn/20%E4%B8%96%E7%BA%AA%E5%B0%91%E5%B9%B4%28%E6%BC%AB%E7%94%BB%29	Q21198342
21卫门	21卫门	Japanese manga series	https://zh.moegirl.org.cn/21%E5%8D%AB%E9%97%A8	Q21198342
22/7_音乐的时间	22/7 音乐的时间	Japanese video game	https://zh.moegirl.org.cn/22/7_%E9%9F%B3%E4%B9%90%E7%9A%84%E6%97%B6%E9%97%B4	Q7889
22/7_音乐的时间/卡牌	22/7 音乐的时间/卡牌	Japanese video game	https://zh.moegirl.org.cn/22/7_%E9%9F%B3%E4%B9%90%E7%9A%84%E6%97%B6%E9%97%B4/%E5%8D%A1%E7%89%8C	Q7889
22/7(动画)	22/7(动画)	Japanese anime series	https://zh.moegirl.org.cn/22/7%28%E5%8A%A8%E7%94%BB%29	Q63952888
25岁的女高中生	25岁的女高中生	Japanese manga series	https://zh.moegirl.org.cn/25%E5%B2%81%E7%9A%84%E5%A5%B3%E9%AB%98%E4%B8%AD%E7%94%9F	Q21198342
29与JK	29与JK	Japanese novel series	https://zh.moegirl.org.cn/29%E4%B8%8EJK	Q104213567
29岁单身中坚冒险家的日常	29岁单身中坚冒险家的日常	Japanese manga series	https://zh.moegirl.org.cn/29%E5%B2%81%E5%8D%95%E8%BA%AB%E4%B8%AD%E5%9D%9A%E5%86%92%E9%99%A9%E5%AE%B6%E7%9A%84%E6%97%A5%E5%B8%B8	Q21198342
300英雄	300英雄	Chinese video game	https://zh.moegirl.org.cn/300%E8%8B%B1%E9%9B%84	Q7889
3D女友	3D女友	Japanese manga series	https://zh.moegirl.org.cn/3D%E5%A5%B3%E5%8F%8B	Q21198342
3D定制女仆	3D定制女仆	Japanese video game	https://zh.moegirl.org.cn/3D%E5%AE%9A%E5%88%B6%E5%A5%B3%E4%BB%86	Q7889
3D定制女仆2	3D定制女仆2	Japanese video game	https://zh.moegirl.org.cn/3D%E5%AE%9A%E5%88%B6%E5%A5%B3%E4%BB%862	Q7889
3D客制女仆2	3D客制女仆2	Japanese video game	https://zh.moegirl.org.cn/3D%E5%AE%A2%E5%88%B6%E5%A5%B3%E4%BB%862	Q7889
3days~在逝去时间的另一端~	3days~在逝去时间的另一端~	Japanese video game	https://zh.moegirl.org.cn/3days~%E5%9C%A8%E9%80%9D%E5%8E%BB%E6%97%B6%E9%97%B4%E7%9A%84%E5%8F%A6%E4%B8%80%E7%AB%AF~	Q7889
3月的狮子	3月的狮子	Japanese manga series	https://zh.moegirl.org.cn/3%E6%9C%88%E7%9A%84%E7%8B%AE%E5%AD%90	Q21198342
3秒后，野兽。～坐在联谊会角落的他是个肉食系	3秒后，野兽。～坐在联谊会角落的他是个肉食系	Japanese manga series	https://zh.moegirl.org.cn/3%E7%A7%92%E5%90%8E%EF%BC%8C%E9%87%8E%E5%85%BD%E3%80%82%EF%BD%9E%E5%9D%90%E5%9C%A8%E8%81%94%E8%B0%8A%E4%BC%9A%E8%A7%92%E8%90%BD%E7%9A%84%E4%BB%96%E6%98%AF%E4%B8%AA%E8%82%89%E9%A3%9F%E7%B3%BB	Q21198342
4_Rug_Makeup!	4 Rug Makeup!	Japanese video game	https://zh.moegirl.org.cn/4_Rug_Makeup%21	Q7889
4_cours_after_四季之后	4 cours after 四季之后	Japanese novel series	https://zh.moegirl.org.cn/4_cours_after_%E5%9B%9B%E5%AD%A3%E4%B9%8B%E5%90%8E	Q104213567
404_GAME_RE:SET	404 GAME RE:SET	Japanese video game	https://zh.moegirl.org.cn/404_GAME_RE%3ASET	Q7889
428_～被封锁的涩谷～	428 ～被封锁的涩谷～	Japanese video game	https://zh.moegirl.org.cn/428_%EF%BD%9E%E8%A2%AB%E5%B0%81%E9%94%81%E7%9A%84%E6%B6%A9%E8%B0%B7%EF%BD%9E	Q7889
4个人各自有着自己的秘密	4个人各自有着自己的秘密	Japanese manga series	https://zh.moegirl.org.cn/4%E4%B8%AA%E4%BA%BA%E5%90%84%E8%87%AA%E6%9C%89%E7%9D%80%E8%87%AA%E5%B7%B1%E7%9A%84%E7%A7%98%E5%AF%86	Q21198342
52赫兹的带路人	52赫兹的带路人	Japanese manga series	https://zh.moegirl.org.cn/52%E8%B5%AB%E5%85%B9%E7%9A%84%E5%B8%A6%E8%B7%AF%E4%BA%BA	Q21198342
5亿年按钮	5亿年按钮	Japanese manga series	https://zh.moegirl.org.cn/5%E4%BA%BF%E5%B9%B4%E6%8C%89%E9%92%AE	Q21198342
5分钟的邂逅！时间停止与不可避免的命运	5分钟的邂逅！时间停止与不可避免的命运	Japanese video game	https://zh.moegirl.org.cn/5%E5%88%86%E9%92%9F%E7%9A%84%E9%82%82%E9%80%85%EF%BC%81%E6%97%B6%E9%97%B4%E5%81%9C%E6%AD%A2%E4%B8%8E%E4%B8%8D%E5%8F%AF%E9%81%BF%E5%85%8D%E7%9A%84%E5%91%BD%E8%BF%90	Q7889
688i深海猎鲨	688i深海猎鲨	American video game	https://zh.moegirl.org.cn/688i%E6%B7%B1%E6%B5%B7%E7%8C%8E%E9%B2%A8	Q7889
77～双星再会之时～	77～双星再会之时～	Japanese video game	https://zh.moegirl.org.cn/77%EF%BD%9E%E5%8F%8C%E6%98%9F%E5%86%8D%E4%BC%9A%E4%B9%8B%E6%97%B6%EF%BD%9E	Q7889
7D-O和她的伙伴们	7D-O和她的伙伴们	Japanese manga series	https://zh.moegirl.org.cn/7D-O%E5%92%8C%E5%A5%B9%E7%9A%84%E4%BC%99%E4%BC%B4%E4%BB%AC	Q21198342
7SEEDS	7SEEDS	Japanese manga series	https://zh.moegirl.org.cn/7SEEDS	Q21198342
7days_-与你共度的七日间-	7days -与你共度的七日间-	Japanese video game	https://zh.moegirl.org.cn/7days_-%E4%B8%8E%E4%BD%A0%E5%85%B1%E5%BA%A6%E7%9A%84%E4%B8%83%E6%97%A5%E9%97%B4-	Q7889
7thGARDEN	7thGARDEN	Japanese manga series	https://zh.moegirl.org.cn/7thGARDEN	Q21198342
8_Man	8 Man	Japanese manga series	https://zh.moegirl.org.cn/8_Man	Q21198342
8_beat_Story	8 beat Story	Japanese video game	https://zh.moegirl.org.cn/8_beat_Story	Q7889
86_-不存在的战区-	86 -不存在的战区-	Japanese novel series	https://zh.moegirl.org.cn/86_-%E4%B8%8D%E5%AD%98%E5%9C%A8%E7%9A%84%E6%88%98%E5%8C%BA-	Q104213567
9-nine-	9-nine-	Japanese video game	https://zh.moegirl.org.cn/9-nine-	Q7889
91Days	91Days	Japanese anime series	https://zh.moegirl.org.cn/91Days	Q63952888
9S(叶山透)	9S(叶山透)	Japanese novel series	https://zh.moegirl.org.cn/9S%28%E5%8F%B6%E5%B1%B1%E9%80%8F%29	Q104213567
9条之人	9条之人	Japanese video game	https://zh.moegirl.org.cn/9%E6%9D%A1%E4%B9%8B%E4%BA%BA	Q7889
A_Channel	A Channel	Japanese manga series	https://zh.moegirl.org.cn/A_Channel	Q21198342
A_Random_Maze_某个迷宫	A Random Maze 某个迷宫	Chinese video game	https://zh.moegirl.org.cn/A_Random_Maze_%E6%9F%90%E4%B8%AA%E8%BF%B7%E5%AE%AB	Q7889
A.I.C.O._-Incarnation-	A.I.C.O. -Incarnation-	Japanese anime series	https://zh.moegirl.org.cn/A.I.C.O._-Incarnation-	Q63952888
A3!	A3!	Japanese video game	https://zh.moegirl.org.cn/A3%21	Q7889
ACCA13区监察课	ACCA13区监察课	Japanese manga series	https://zh.moegirl.org.cn/ACCA13%E5%8C%BA%E7%9B%91%E5%AF%9F%E8%AF%BE	Q21198342
AIR	AIR	Japanese video game	https://zh.moegirl.org.cn/AIR	Q7889
AI电子基因	AI电子基因	Japanese manga series	https://zh.moegirl.org.cn/AI%E7%94%B5%E5%AD%90%E5%9F%BA%E5%9B%A0	Q21198342
AI：梦境档案	AI：梦境档案	Japanese video game	https://zh.moegirl.org.cn/AI%EF%BC%9A%E6%A2%A6%E5%A2%83%E6%A1%A3%E6%A1%88	Q7889
AI：梦境档案_涅槃肇始	AI：梦境档案 涅槃肇始	Japanese video game	https://zh.moegirl.org.cn/AI%EF%BC%9A%E6%A2%A6%E5%A2%83%E6%A1%A3%E6%A1%88_%E6%B6%85%E6%A7%83%E8%82%87%E5%A7%8B	Q7889
AKB0048	AKB0048	Japanese anime series	https://zh.moegirl.org.cn/AKB0048	Q63952888
AKB49恋爱禁止条例	AKB49恋爱禁止条例	Japanese manga series	https://zh.moegirl.org.cn/AKB49%E6%81%8B%E7%88%B1%E7%A6%81%E6%AD%A2%E6%9D%A1%E4%BE%8B	Q21198342
AKIKO	AKIKO	seiyū/voice actor/voice actress	https://zh.moegirl.org.cn/AKIKO	Q5
ALDNOAH.ZERO	ALDNOAH.ZERO	Japanese anime series	https://zh.moegirl.org.cn/ALDNOAH.ZERO	Q63952888
ALICE_or_ALICE_～妹控哥哥与双胞胎妹妹～	ALICE or ALICE ～妹控哥哥与双胞胎妹妹～	Japanese manga series	https://zh.moegirl.org.cn/ALICE_or_ALICE_%EF%BD%9E%E5%A6%B9%E6%8E%A7%E5%93%A5%E5%93%A5%E4%B8%8E%E5%8F%8C%E8%83%9E%E8%83%8E%E5%A6%B9%E5%A6%B9%EF%BD%9E	Q21198342
ALL_OUT!!	ALL OUT!!	Japanese manga series	https://zh.moegirl.org.cn/ALL_OUT%21%21	Q21198342
ALTER_EGO_COMPLEX	ALTER EGO COMPLEX	Japanese video game	https://zh.moegirl.org.cn/ALTER_EGO_COMPLEX	Q7889
ALiBAT	ALiBAT	Japanese video game	https://zh.moegirl.org.cn/ALiBAT	Q7889
AMBITIOUS_MISSION	AMBITIOUS MISSION	Japanese video game	https://zh.moegirl.org.cn/AMBITIOUS_MISSION	Q7889
ANIMAL_PANIC	ANIMAL PANIC	Japanese video game	https://zh.moegirl.org.cn/ANIMAL_PANIC	Q7889
ANOREXIA~志果羽华子得了厌食症~	ANOREXIA~志果羽华子得了厌食症~	Japanese manga series	https://zh.moegirl.org.cn/ANOREXIA~%E5%BF%97%E6%9E%9C%E7%BE%BD%E5%8D%8E%E5%AD%90%E5%BE%97%E4%BA%86%E5%8E%8C%E9%A3%9F%E7%97%87~	Q21198342
AQUARIUM	AQUARIUM	Japanese video game	https://zh.moegirl.org.cn/AQUARIUM	Q7889
ARGONAVIS_from_BanG_Dream!_AAside	ARGONAVIS from BanG Dream! AAside	Japanese video game	https://zh.moegirl.org.cn/ARGONAVIS_from_BanG_Dream%21_AAside	Q7889
ARGONAVIS_from_BanG_Dream!_ANIMATION	ARGONAVIS from BanG Dream! ANIMATION	Japanese anime series	https://zh.moegirl.org.cn/ARGONAVIS_from_BanG_Dream%21_ANIMATION	Q63952888
ARMS(游戏)	ARMS(游戏)	Japanese video game	https://zh.moegirl.org.cn/ARMS%28%E6%B8%B8%E6%88%8F%29	Q7889
ARTE	ARTE	Japanese manga series	https://zh.moegirl.org.cn/ARTE	Q21198342
ATRI_-My_Dear_Moments-	ATRI -My Dear Moments-	Japanese video game	https://zh.moegirl.org.cn/ATRI_-My_Dear_Moments-	Q7889
