id	name	desc	url	type	P400	P437	P750	P852	#ESRB_DESCRIPTORS	#ESRB_INTERACTIVE_ELEMENTS
blud-switch	#BLUD	2024 Nintendo Switch video game by Humble Games .	https://www.nintendo.com/us/store/products/blud-switch/	Q7889	Q19610114	Q54820071	Q3070866	Q14864330	Q60316463|Q60324424|Q60324427|Q60324429	
drive-switch	#DRIVE	2021 Nintendo Switch video game by PM Studios	https://www.nintendo.com/us/store/products/drive-switch/	Q7889	Q19610114	Q54820071	Q3070866	Q14864328	Q60324381	
funtime-switch	#Funtime	2020 Nintendo Switch video game by The Quantum Astrophysicists Guild	https://www.nintendo.com/us/store/products/funtime-switch/	Q7889	Q19610114	Q54820071	Q3070866	Q14864328	Q70002023	
halloween-super-puzzles-dream-switch	#Halloween, Super Puzzles Dream	2020 Nintendo Switch video game by FuriouSoftPhoenix	https://www.nintendo.com/us/store/products/halloween-super-puzzles-dream-switch/	Q7889	Q19610114	Q54820071	Q3070866	Q14864328		
killallzombies-switch	#KILLALLZOMBIES	2019 Nintendo Switch video game by Fortell Games	https://www.nintendo.com/us/store/products/killallzombies-switch/	Q7889	Q19610114	Q54820071	Q3070866	Q14864330	Q60316463|Q60324429	
nolimitfantasy-super-puzzles-dream-switch	#NoLimitFantasy, Super Puzzles Dream	2020 Nintendo Switch video game by FuriouSoftPhoenix	https://www.nintendo.com/us/store/products/nolimitfantasy-super-puzzles-dream-switch/	Q7889	Q19610114	Q54820071	Q3070866	Q14864328		
pinocchio-super-puzzles-dream-switch	#pinocchio, Super Puzzles Dream	2021 Nintendo Switch video game by FuriouSoftPhoenix	https://www.nintendo.com/us/store/products/pinocchio-super-puzzles-dream-switch/	Q7889	Q19610114	Q54820071	Q3070866	Q14864328		
wish-travel-super-puzzles-dream-switch	#Wish travel, Super Puzzles Dream	2021 Nintendo Switch video game by FuriouSoftPhoenix	https://www.nintendo.com/us/store/products/wish-travel-super-puzzles-dream-switch/	Q7889	Q19610114	Q54820071	Q3070866	Q14864328		
womenup-super-puzzles-dream-switch	#womenUp, Super Puzzles Dream	2020 Nintendo Switch video game by FuriouSoftPhoenix	https://www.nintendo.com/us/store/products/womenup-super-puzzles-dream-switch/	Q7889	Q19610114	Q54820071	Q3070866	Q14864328		
xmas-super-puzzles-dream-switch	#Xmas, Super Puzzles Dream	2020 Nintendo Switch video game by FuriouSoftPhoenix	https://www.nintendo.com/us/store/products/xmas-super-puzzles-dream-switch/	Q7889	Q19610114	Q54820071	Q3070866	Q14864328		
n-verlore-verstand-switch	'n Verlore Verstand	2018 Nintendo Switch video game by SKERMUNKEL STUDIOS	https://www.nintendo.com/us/store/products/n-verlore-verstand-switch/	Q7889	Q19610114	Q54820071	Q3070866	Q14864328	Q60316458	
doki-doki-family-switch	- Doki Doki Family - 特異体質者のドキドキ家族生活	2022 Nintendo Switch video game by CyberStep	https://www.nintendo.com/us/store/products/doki-doki-family-switch/	Q7889	Q19610114	Q54820071	Q3070866	Q14864331	Q60300342	
